t,cum_loss_algo,cum_loss_bfph,cum_regret,sqrt_t_bound_c1
116,-1.077832322433243,0.0,-1.077832322433243,10.770329614269007
117,-1.087957566857355,0.0,-1.087957566857355,10.816653826391969
118,-1.0988753093329302,0.0,-1.0988753093329302,10.862780491200215
119,-1.1104967193852175,0.0,-1.1104967193852175,10.908712114635714
120,-1.1181496181530406,0.0,-1.1181496181530406,10.954451150103322
121,-1.1263717696057005,0.0,-1.1263717696057005,11.0
122,-1.1350698659748508,0.0,-1.1350698659748508,11.045361017187261
123,-1.140707494720763,0.0,-1.140707494720763,11.090536506409418
124,-1.1466516065871937,0.0,-1.1466516065871937,11.135528725660043
125,-1.1507880467009108,0.0,-1.1507880467009108,11.180339887498949
126,-1.1576865187957504,0.0,-1.1576865187957504,11.224972160321824
127,-1.165972961724471,0.0,-1.165972961724471,11.269427669584644
128,-1.1738647077521533,0.0,-1.1738647077521533,11.313708498984761
129,-1.1796857369296363,0.0,-1.1796857369296363,11.357816691600547
130,-1.1864063613387499,0.0,-1.1864063613387499,11.40175425099138
131,-1.1937840167332174,0.0,-1.1937840167332174,11.445523142259598
132,-1.2094901653186783,0.0,-1.2094901653186783,11.489125293076057
133,-1.2172490801378446,0.0,-1.2172490801378446,11.532562594670797
134,-1.2257593221036134,0.0,-1.2257593221036134,11.575836902790225
135,-1.2453485674075557,0.0,-1.2453485674075557,11.61895003862225
136,-1.2947569163959955,0.0,-1.2947569163959955,11.661903789690601
137,-1.3118531919962548,0.0,-1.3118531919962548,11.704699910719626
138,-1.3200548040451372,0.0,-1.3200548040451372,11.74734012447073
139,-1.328450779719852,0.0,-1.328450779719852,11.789826122551595
140,-1.338909474543959,0.0,-1.338909474543959,11.832159566199232
141,-1.3578358020181245,0.0,-1.3578358020181245,11.874342087037917
142,-1.365805205142227,0.0,-1.365805205142227,11.916375287812984
143,-1.3730787866473686,0.0,-1.3730787866473686,11.958260743101398
144,-1.3887314229767922,0.0,-1.3887314229767922,12.0
145,-1.3944079483089509,0.0,-1.3944079483089509,12.041594578792296
146,-1.4051824623183762,0.0,-1.4051824623183762,12.083045973594572
147,-1.4117436586904424,0.0,-1.4117436586904424,12.12435565298214
148,-1.4226229048524761,0.0,-1.4226229048524761,12.165525060596439
149,-1.4313907867154574,0.0,-1.4313907867154574,12.206555615733702
150,-1.479885764662755,0.0,-1.479885764662755,12.24744871391589
151,-1.4857294436710562,0.0,-1.4857294436710562,12.288205727444508
152,-1.4943234341910492,0.0,-1.4943234341910492,12.328828005937952
153,-1.503089522195654,0.0,-1.503089522195654,12.36931687685298
154,-1.5118484902814244,0.0,-1.5118484902814244,12.409673645990857
155,-1.5141037459899103,0.0,-1.5141037459899103,12.449899597988733
156,-1.5248911107008964,0.0,-1.5248911107008964,12.489995996796797
157,-1.5453871133058426,0.0,-1.5453871133058426,12.529964086141668
158,-1.5700119243603257,0.0,-1.5700119243603257,12.569805089976535
159,-1.5784849347014511,0.0,-1.5784849347014511,12.609520212918492
160,-1.5970420125903497,0.0,-1.5970420125903497,12.649110640673518
161,-1.5986530897940112,0.0,-1.5986530897940112,12.68857754044952
162,-1.6053161054673566,0.0,-1.6053161054673566,12.727922061357855
163,-1.6219279041018748,0.0,-1.6219279041018748,12.767145334803704
164,-1.6307586153659381,0.0,-1.6307586153659381,12.806248474865697
165,-1.63781602494671,0.0,-1.63781602494671,12.84523257866513
166,-1.6497367323870693,0.0,-1.6497367323870693,12.884098726725126
167,-1.6575659949685368,0.0,-1.6575659949685368,12.922847983320086
168,-1.6636619834438566,0.0,-1.6636619834438566,12.96148139681572
169,-1.669743027660469,0.0,-1.669743027660469,13.0
170,-1.6822012021851882,0.0,-1.6822012021851882,13.038404810405298
171,-1.6876258820018386,0.0,-1.6876258820018386,13.076696830622021
172,-1.6914945148435974,0.0,-1.6914945148435974,13.114877048604
173,-1.7000092066230668,0.0,-1.7000092066230668,13.152946437965905
174,-1.705888458588788,0.0,-1.705888458588788,13.19090595827292
175,-1.716160486733183,0.0,-1.716160486733183,13.228756555322953
176,-1.7253697889624766,0.0,-1.7253697889624766,13.2664991614216
177,-1.7400625896800992,0.0,-1.7400625896800992,13.30413469565007
178,-1.7536937721496935,0.0,-1.7536937721496935,13.341664064126334
179,-1.7662781527671865,0.0,-1.7662781527671865,13.379088160259652
180,-1.7727641729784105,0.0,-1.7727641729784105,13.416407864998739
181,-1.7788076544157174,0.0,-1.7788076544157174,13.45362404707371
182,-1.7856275910585793,0.0,-1.7856275910585793,13.490737563232042
183,-1.7959547780703085,0.0,-1.7959547780703085,13.527749258468683
184,-1.8088805186872796,0.0,-1.8088805186872796,13.564659966250536
185,-1.8194197918107065,0.0,-1.8194197918107065,13.601470508735444
186,-1.8332308921477327,0.0,-1.8332308921477327,13.638181696985855
187,-1.8363675743246834,0.0,-1.8363675743246834,13.674794331177344
188,-1.8453836665268013,0.0,-1.8453836665268013,13.711309200802088
189,-1.8612569643012817,0.0,-1.8612569643012817,13.74772708486752
190,-1.8728900252701621,0.0,-1.8728900252701621,13.784048752090222
191,-1.8816903826442692,0.0,-1.8816903826442692,13.820274961085254
192,-1.8990891307612314,0.0,-1.8990891307612314,13.856406460551018
193,-1.9169561618920223,0.0,-1.9169561618920223,13.892443989449804
194,-1.9244623503137332,0.0,-1.9244623503137332,13.92838827718412
195,-1.9280313488324479,0.0,-1.9280313488324479,13.96424004376894
196,-1.9400758006552552,0.0,-1.9400758006552552,14.0
197,-1.9489703582534015,0.0,-1.9489703582534015,14.035668847618199
198,-1.9531766611508221,0.0,-1.9531766611508221,14.071247279470288
199,-1.961978214498406,0.0,-1.961978214498406,14.106735979665885
200,-1.9700840455184931,0.0,-1.9700840455184931,14.142135623730951
201,-1.9781832326719977,0.0,-1.9781832326719977,14.177446878757825
202,-1.9875467825797506,0.0,-1.9875467825797506,14.212670403551895
203,-2.0020465812261627,0.0,-2.0020465812261627,14.247806848775006
204,-2.025217770700711,0.0,-2.025217770700711,14.2828568570857
205,-2.0275683215679243,0.0,-2.0275683215679243,14.317821063276353
206,-2.03718810681744,0.0,-2.03718810681744,14.352700094407323
207,-2.0478206629730495,0.0,-2.0478206629730495,14.38749456993816
208,-2.0606937239652923,0.0,-2.0606937239652923,14.422205101855956
209,-2.07776882551031,0.0,-2.07776882551031,14.45683229480096
210,-2.0802383921241216,0.0,-2.0802383921241216,14.491376746189438
211,-2.0877151228658053,0.0,-2.0877151228658053,14.52583904633395
212,-2.0933483605573655,0.0,-2.0933483605573655,14.560219778561036
213,-2.0952137345818875,0.0,-2.0952137345818875,14.594519519326424
214,-2.107510054303488,0.0,-2.107510054303488,14.628738838327793
215,-2.1145225076509653,0.0,-2.1145225076509653,14.66287829861518
216,-2.123374156151294,0.0,-2.123374156151294,14.696938456699069
217,-2.132586570048637,0.0,-2.132586570048637,14.730919862656235
218,-2.1382807666573824,0.0,-2.1382807666573824,14.7648230602334
219,-2.1531882384956265,0.0,-2.1531882384956265,14.798648586948742
220,-2.1650984026265188,0.0,-2.1650984026265188,14.832396974191326
221,-2.176043987206707,0.0,-2.176043987206707,14.866068747318506
222,-2.181463538756654,0.0,-2.181463538756654,14.89966442575134
223,-2.1890293401267553,0.0,-2.1890293401267553,14.933184523068078
224,-2.196692788578121,0.0,-2.196692788578121,14.966629547095765
225,-2.205123199804359,0.0,-2.205123199804359,15.0
226,-2.213096435107863,0.0,-2.213096435107863,15.033296378372908
227,-2.2226830273068026,0.0,-2.2226830273068026,15.066519173319364
228,-2.230877311906986,0.0,-2.230877311906986,15.0996688705415
229,-2.24136016807366,0.0,-2.24136016807366,15.132745950421556
230,-2.252978596710127,0.0,-2.252978596710127,15.165750888103101
231,-2.26436820821703,0.0,-2.26436820821703,15.198684153570664
232,-2.2694760390208297,0.0,-2.2694760390208297,15.231546211727817
233,-2.277385586269244,0.0,-2.277385586269244,15.264337522473747
234,-2.289147326814307,0.0,-2.289147326814307,15.297058540778355
235,-2.3117396791938276,0.0,-2.3117396791938276,15.329709716755891
236,-2.3203759441775937,0.0,-2.3203759441775937,15.362291495737216
237,-2.3286597747483904,0.0,-2.3286597747483904,15.394804318340652
238,-2.3396365165697435,0.0,-2.3396365165697435,15.427248620541512
239,-2.3448861755434987,0.0,-2.3448861755434987,15.459624833740307
240,-2.360969779769055,0.0,-2.360969779769055,15.491933384829668
241,-2.3689345930852097,0.0,-2.3689345930852097,15.524174696260024
242,-2.382644268871471,0.0,-2.382644268871471,15.556349186104045
243,-2.394244807926061,0.0,-2.394244807926061,15.588457268119896
244,-2.3951291177541547,0.0,-2.3951291177541547,15.620499351813308
245,-2.400273486433101,0.0,-2.400273486433101,15.652475842498529
246,-2.4082594506879134,0.0,-2.4082594506879134,15.684387141358123
247,-2.414295458533688,0.0,-2.414295458533688,15.716233645501712
248,-2.4283425195111805,0.0,-2.4283425195111805,15.748015748023622
249,-2.4418907459808934,0.0,-2.4418907459808934,15.7797338380595
250,-2.4570336574732274,0.0,-2.4570336574732274,15.811388300841896
251,-2.460915308612965,0.0,-2.460915308612965,15.84297951775486
252,-2.4728374752646736,0.0,-2.4728374752646736,15.874507866387544
253,-2.484521588428822,0.0,-2.484521588428822,15.905973720586866
254,-2.501135576633444,0.0,-2.501135576633444,15.937377450509228
255,-2.5074312520152438,0.0,-2.5074312520152438,15.968719422671311
256,-2.5188446589838844,0.0,-2.5188446589838844,16.0
257,-2.5278095151878155,0.0,-2.5278095151878155,16.0312195418814
258,-2.5385265928357095,0.0,-2.5385265928357095,16.06237840420901
259,-2.544840525129495,0.0,-2.544840525129495,16.09347693943108
260,-2.5528148986454724,0.0,-2.5528148986454724,16.1245154965971
261,-2.5657680253410233,0.0,-2.5657680253410233,16.15549442140351
262,-2.57364697611449,0.0,-2.57364697611449,16.186414056238647
263,-2.581831243881181,0.0,-2.581831243881181,16.217274740226856
264,-2.58703579071849,0.0,-2.58703579071849,16.24807680927192
265,-2.5982282396221423,0.0,-2.5982282396221423,16.278820596099706
266,-2.6024797326119553,0.0,-2.6024797326119553,16.30950643030009
267,-2.6184601277877273,0.0,-2.6184601277877273,16.34013463836819
268,-2.633528894217002,0.0,-2.633528894217002,16.3707055437449
269,-2.6420283737302466,0.0,-2.6420283737302466,16.401219466856727
