strategy,frequency,tau,periods,events_per_period,P(cont|gap),sharpe,mdd,avg_turnover,final_wealth,avg_return_bps
MemOMD-daily,daily,0.03,500,48.514,0.5434719874675351,48.59660255215222,0.0,1.8906287972316098,526.4523451523453,126.19547559987971
MemOMD-monthly@tau=0.03,monthly (M=21),0.03,23,1140.0869565217392,0.5061780184577835,42.98502972056821,0.0,1.8926585484754637,7.700240451600395,928.3308756834371
MemOMD-monthly@tau=0.1,monthly (M=21),0.1,23,132.47826086956522,0.5274040039383,21.622161957674034,0.0,1.8814642282850866,3.5610376616772648,568.1187343448255
MemOMD-monthly@tau=0.2,monthly (M=21),0.2,23,2.9565217391304346,0.6176470588235294,2.8985763268955353,-0.01931062407292516,1.9047619047619047,1.6905955443649743,269.9486068892288
